email,current_placement,first_choice,second_choice,third_choice
user447@example.com,George Hospital,General Justice Gizenga Mpanza Hospital,Rob Ferreira Hospital,Steve Biko Academic Hospital
user448@example.com,George Hospital,Sebokeng Hospital,Paarl Hospital,Joe Morolong Memorial Hospital
user449@example.com,George Hospital,Thelle Mogoerane Regional Hospital,Job Shimankana Tabane Hospital,Ladysmith Hospital
user450@example.com,George Hospital,Potchefstroom Hospital,Sebokeng Hospital,Grey's Hospital
user451@example.com,George Hospital,Livingstone Hospital,Klerksdorp-Tshepong Tertiary Hospital,Ladysmith Hospital
user452@example.com,George Hospital,Tygerberg Hospital,General Justice Gizenga Mpanza Hospital,Worcester Hospital
user453@example.com,George Hospital,Potchefstroom Hospital,Sebokeng Hospital,Thelle Mogoerane Regional Hospital
user454@example.com,George Hospital,Victoria Hospital,Leratong Hospital,Potchefstroom Hospital
user455@example.com,George Hospital,Themba Hospital,King Edward VIII Hospital,Paarl Hospital
user456@example.com,George Hospital,Frere Hospital,Potchefstroom Hospital,Grey's Hospital
user457@example.com,George Hospital,Worcester Hospital,Dihlabeng Hospital,Leratong Hospital
user458@example.com,George Hospital,Witbank Hospital,"Ngwelezana Hospital, Empangeni",Tshilidzine Hospital
user459@example.com,George Hospital,Robert Mangaliso Sobukwe Hospital,Klerksdorp-Tshepong Tertiary Hospital,Leratong Hospital
user460@example.com,George Hospital,Leratong Hospital,Paarl Hospital,Grey's Hospital
user461@example.com,George Hospital,Port Shepstone Hospital,"Ngwelezana Hospital, Empangeni",Ladysmith Hospital
user462@example.com,George Hospital,Themba Hospital,Victoria Hospital,Dr George Mukhari Hospital
user463@example.com,George Hospital,Tygerberg Hospital,Pietersburg Hospital,Rob Ferreira Hospital
user464@example.com,George Hospital,Kalafong Hospital,New Somerset Hospital,Robert Mangaliso Sobukwe Hospital
user465@example.com,Grey's Hospital,Groote Schuur Hospital,Paarl Hospital,Lebowakgomo Hospital
user466@example.com,Grey's Hospital,Witbank Hospital,"Madadeni Hospital, New Castle",Paarl Hospital
user467@example.com,Grey's Hospital,"Madadeni Hospital, New Castle",George Hospital,Tshilidzine Hospital
user468@example.com,Grey's Hospital,Potchefstroom Hospital,Job Shimankana Tabane Hospital,Frere Hospital
user469@example.com,Grey's Hospital,Livingstone Hospital,Port Shepstone Hospital,Potchefstroom Hospital
user470@example.com,Grey's Hospital,Lebowakgomo Hospital,"Ngwelezana Hospital, Empangeni",Prince Mshiyeni Memorial Hospital
user471@example.com,Grey's Hospital,General Justice Gizenga Mpanza Hospital,Nelson Mandela Academic Hospital,Livingstone Hospital
user472@example.com,Grey's Hospital,Paarl Hospital,Leratong Hospital,New Somerset Hospital
user473@example.com,Grey's Hospital,Helen Joseph Hospital,General Justice Gizenga Mpanza Hospital,"Madadeni Hospital, New Castle"
user474@example.com,Grey's Hospital,Port Shepstone Hospital,Job Shimankana Tabane Hospital,Kalafong Hospital
user475@example.com,Grey's Hospital,Joe Morolong Memorial Hospital,Livingstone Hospital,Sebokeng Hospital
user476@example.com,Grey's Hospital,Mankweng Hospital,King Edward VIII Hospital,Addington Hospital
user477@example.com,Grey's Hospital,"Madadeni Hospital, New Castle",George Hospital,Paarl Hospital
user478@example.com,Grey's Hospital,Sebokeng Hospital,New Somerset Hospital,Thelle Mogoerane Regional Hospital
user479@example.com,Grey's Hospital,Robert Mangaliso Sobukwe Hospital,Sebokeng Hospital,Paarl Hospital
user480@example.com,Grey's Hospital,"Ngwelezana Hospital, Empangeni",Rob Ferreira Hospital,George Hospital
user481@example.com,Grey's Hospital,Port Shepstone Hospital,Livingstone Hospital,Boitumelo Hospital
user482@example.com,Grey's Hospital,Robert Mangaliso Sobukwe Hospital,Ermelo Hospital,Klerksdorp-Tshepong Tertiary Hospital
user483@example.com,Grey's Hospital,Paarl Hospital,Themba Hospital,Tambo Memorial Hospital
user484@example.com,Grey's Hospital,Paarl Hospital,"Ngwelezana Hospital, Empangeni",Kalafong Hospital
user485@example.com,Grey's Hospital,Helen Joseph Hospital,New Somerset Hospital,Tygerberg Hospital
user486@example.com,Grey's Hospital,Worcester Hospital,Rob Ferreira Hospital,Robert Mangaliso Sobukwe Hospital
user487@example.com,Grey's Hospital,Livingstone Hospital,Helderberg Hospital,Job Shimankana Tabane Hospital
user488@example.com,Grey's Hospital,Sebokeng Hospital,Kalafong Hospital,Themba Hospital
user489@example.com,Grey's Hospital,Dihlabeng Hospital,Witbank Hospital,SAMHS 1 Military Hospital
user490@example.com,Grey's Hospital,Khayelitsha Hospital,Prince Mshiyeni Memorial Hospital,Boitumelo Hospital
user491@example.com,Grey's Hospital,Chris Hani Baragwanath Hospital,Sebokeng Hospital,Frere Hospital
user492@example.com,Grey's Hospital,Joe Morolong Memorial Hospital,Worcester Hospital,King Edward VIII Hospital
user493@example.com,Grey's Hospital,Sebokeng Hospital,Livingstone Hospital,Joe Morolong Memorial Hospital
user494@example.com,Grey's Hospital,Dihlabeng Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital
user495@example.com,Grey's Hospital,Mahikeng Provincial Hospital,Chris Hani Baragwanath Hospital,George Hospital
user496@example.com,Grey's Hospital,George Hospital,General Justice Gizenga Mpanza Hospital,Robert Mangaliso Sobukwe Hospital
user497@example.com,Grey's Hospital,Steve Biko Academic Hospital,"Madadeni Hospital, New Castle",Leratong Hospital
user498@example.com,Grey's Hospital,Robert Mangaliso Sobukwe Hospital,George Hospital,Klerksdorp-Tshepong Tertiary Hospital
user499@example.com,Grey's Hospital,Leratong Hospital,Rob Ferreira Hospital,Prince Mshiyeni Memorial Hospital
user500@example.com,Grey's Hospital,Mitchells Plain Hospital,Bongani Hospital,Rob Ferreira Hospital
user501@example.com,Grey's Hospital,Potchefstroom Hospital,Worcester Hospital,Addington Hospital
user502@example.com,Grey's Hospital,Elim Hospital,Mapulaneng Hospital,Leratong Hospital
user503@example.com,Grey's Hospital,Potchefstroom Hospital,Karl Bremer Hospital,Lebowakgomo Hospital
user504@example.com,Grey's Hospital,"Ngwelezana Hospital, Empangeni",Port Shepstone Hospital,Nelson Mandela Academic Hospital
user505@example.com,Grey's Hospital,Paarl Hospital,Joe Morolong Memorial Hospital,George Hospital
user506@example.com,Grey's Hospital,Witbank Hospital,St Rita's Hospital,Mokopane Hospital
user507@example.com,Grey's Hospital,Livingstone Hospital,Rob Ferreira Hospital,Frere Hospital
user508@example.com,Grey's Hospital,Karl Bremer Hospital,Sebokeng Hospital,Ladysmith Hospital
user509@example.com,Grey's Hospital,Livingstone Hospital,New Somerset Hospital,Paarl Hospital
user510@example.com,Grey's Hospital,George Hospital,Victoria Hospital,Kalafong Hospital
user511@example.com,Grey's Hospital,Frere Hospital,Robert Mangaliso Sobukwe Hospital,Prince Mshiyeni Memorial Hospital
user512@example.com,Grey's Hospital,Leratong Hospital,Sebokeng Hospital,Witbank Hospital
user513@example.com,Grey's Hospital,"Ngwelezana Hospital, Empangeni",King Edward VIII Hospital,Livingstone Hospital
user514@example.com,Grey's Hospital,King Edward VIII Hospital,Leratong Hospital,Prince Mshiyeni Memorial Hospital
user515@example.com,Grey's Hospital,Thelle Mogoerane Regional Hospital,Pelonomi Hospital,General Justice Gizenga Mpanza Hospital
user516@example.com,Grey's Hospital,Groote Schuur Hospital,Sebokeng Hospital,Mahikeng Provincial Hospital
user517@example.com,Grey's Hospital,Prince Mshiyeni Memorial Hospital,Livingstone Hospital,Frere Hospital
user518@example.com,Grey's Hospital,Leratong Hospital,Paarl Hospital,SAMHS 1 Military Hospital
user519@example.com,Grey's Hospital,Worcester Hospital,Leratong Hospital,Frere Hospital
user520@example.com,Grey's Hospital,Robert Mangaliso Sobukwe Hospital,Groote Schuur Hospital,Leratong Hospital
user521@example.com,Grey's Hospital,Mokopane Hospital,Job Shimankana Tabane Hospital,Dr George Mukhari Hospital
user522@example.com,Grey's Hospital,Tygerberg Hospital,Rob Ferreira Hospital,Paarl Hospital
user523@example.com,Grey's Hospital,Tambo Memorial Hospital,Steve Biko Academic Hospital,Far East Rand Hospital
user524@example.com,Grey's Hospital,Pietersburg Hospital,George Hospital,Port Shepstone Hospital
user525@example.com,Grey's Hospital,Tygerberg Hospital,Livingstone Hospital,Robert Mangaliso Sobukwe Hospital
user526@example.com,Grey's Hospital,Job Shimankana Tabane Hospital,Themba Hospital,Livingstone Hospital
user527@example.com,Grey's Hospital,"Madadeni Hospital, New Castle",Potchefstroom Hospital,Nelson Mandela Academic Hospital
user528@example.com,Grey's Hospital,Prince Mshiyeni Memorial Hospital,George Hospital,Paarl Hospital
user529@example.com,Grey's Hospital,Job Shimankana Tabane Hospital,"Madadeni Hospital, New Castle",Klerksdorp-Tshepong Tertiary Hospital
user530@example.com,Grey's Hospital,Mahikeng Provincial Hospital,Witbank Hospital,Prince Mshiyeni Memorial Hospital
user531@example.com,Grey's Hospital,St Rita's Hospital,Potchefstroom Hospital,Livingstone Hospital
user532@example.com,Grey's Hospital,Themba Hospital,Livingstone Hospital,George Hospital
user533@example.com,Grey's Hospital,Job Shimankana Tabane Hospital,Potchefstroom Hospital,Livingstone Hospital
user534@example.com,Grey's Hospital,Helen Joseph Hospital,Port Shepstone Hospital,Rob Ferreira Hospital
user535@example.com,Grey's Hospital,Rob Ferreira Hospital,Paarl Hospital,Steve Biko Academic Hospital
user536@example.com,Grey's Hospital,Robert Mangaliso Sobukwe Hospital,Lebowakgomo Hospital,Kalafong Hospital
user537@example.com,Grey's Hospital,Mokopane Hospital,Paarl Hospital,Leratong Hospital
user538@example.com,Grey's Hospital,Frere Hospital,Paarl Hospital,Rob Ferreira Hospital
user539@example.com,Grey's Hospital,Leratong Hospital,Paarl Hospital,Charlotte Maxeke Hospital
user540@example.com,Grey's Hospital,Mahikeng Provincial Hospital,Rob Ferreira Hospital,Klerksdorp-Tshepong Tertiary Hospital
user541@example.com,Grey's Hospital,George Hospital,Livingstone Hospital,Leratong Hospital
user542@example.com,Grey's Hospital,Tambo Memorial Hospital,Klerksdorp-Tshepong Tertiary Hospital,Port Shepstone Hospital
user543@example.com,Grey's Hospital,Pietersburg Hospital,Groote Schuur Hospital,Rob Ferreira Hospital
user544@example.com,Grey's Hospital,Groote Schuur Hospital,Frere Hospital,Port Shepstone Hospital
user545@example.com,Grey's Hospital,Pietersburg Hospital,Frere Hospital,"Ngwelezana Hospital, Empangeni"
user546@example.com,Grey's Hospital,George Hospital,Worcester Hospital,Livingstone Hospital
user547@example.com,Grey's Hospital,Port Shepstone Hospital,Potchefstroom Hospital,Livingstone Hospital
user548@example.com,Grey's Hospital,Victoria Hospital,Witbank Hospital,Mofumahadi Manapo Mopeli Hospital
user549@example.com,Grey's Hospital,Livingstone Hospital,Mahikeng Provincial Hospital,Robert Mangaliso Sobukwe Hospital
user550@example.com,Grey's Hospital,Paarl Hospital,Port Shepstone Hospital,Livingstone Hospital
user551@example.com,Grey's Hospital,Joe Morolong Memorial Hospital,Sebokeng Hospital,Themba Hospital
user552@example.com,Grey's Hospital,Bongani Hospital,George Hospital,Themba Hospital
user553@example.com,Grey's Hospital,Livingstone Hospital,Potchefstroom Hospital,Port Shepstone Hospital
user554@example.com,Grey's Hospital,Sebokeng Hospital,George Hospital,Helen Joseph Hospital
user555@example.com,Grey's Hospital,Rob Ferreira Hospital,Pelonomi Hospital,Mokopane Hospital
user556@example.com,Grey's Hospital,Leratong Hospital,Frere Hospital,Potchefstroom Hospital
user557@example.com,Grey's Hospital,Groote Schuur Hospital,Ladysmith Hospital,Boitumelo Hospital
user558@example.com,Grey's Hospital,Livingstone Hospital,Mitchells Plain Hospital,Themba Hospital
user559@example.com,Grey's Hospital,Paarl Hospital,St Rita's Hospital,Tygerberg Hospital
user560@example.com,Grey's Hospital,Frere Hospital,Tygerberg Hospital,Robert Mangaliso Sobukwe Hospital
user561@example.com,Grey's Hospital,Klerksdorp-Tshepong Tertiary Hospital,Addington Hospital,Charlotte Maxeke Hospital
user562@example.com,Grey's Hospital,Themba Hospital,Potchefstroom Hospital,Mankweng Hospital
user563@example.com,Grey's Hospital,Witbank Hospital,Paarl Hospital,George Hospital
user564@example.com,Grey's Hospital,Livingstone Hospital,Pholosong Hospital,Witbank Hospital
user565@example.com,Grey's Hospital,Paarl Hospital,RK Khan Hospital,Frere Hospital
user566@example.com,Grey's Hospital,Livingstone Hospital,Port Shepstone Hospital,Frere Hospital
user567@example.com,Grey's Hospital,King Edward VIII Hospital,Khayelitsha Hospital,New Somerset Hospital
user568@example.com,Grey's Hospital,Helen Joseph Hospital,Mahikeng Provincial Hospital,Pietersburg Hospital
user569@example.com,Grey's Hospital,Sebokeng Hospital,Mankweng Hospital,Livingstone Hospital
user570@example.com,Grey's Hospital,George Hospital,Ladysmith Hospital,Paarl Hospital
user571@example.com,Grey's Hospital,St Rita's Hospital,Frere Hospital,Kalafong Hospital
user572@example.com,Grey's Hospital,"Madadeni Hospital, New Castle",Leratong Hospital,Rob Ferreira Hospital
user573@example.com,Grey's Hospital,George Hospital,Mahikeng Provincial Hospital,Rob Ferreira Hospital
user574@example.com,Grey's Hospital,Ermelo Hospital,Frere Hospital,Dr George Mukhari Hospital
user575@example.com,Grey's Hospital,Witbank Hospital,Edenvale Hospital,Klerksdorp-Tshepong Tertiary Hospital
user576@example.com,Grey's Hospital,Potchefstroom Hospital,General Justice Gizenga Mpanza Hospital,SAMHS 1 Military Hospital
user577@example.com,Grey's Hospital,Prince Mshiyeni Memorial Hospital,Witbank Hospital,Job Shimankana Tabane Hospital
user578@example.com,Grey's Hospital,Leratong Hospital,Mapulaneng Hospital,Sebokeng Hospital
user579@example.com,Groote Schuur Hospital,Paarl Hospital,Tambo Memorial Hospital,Port Shepstone Hospital
user580@example.com,Groote Schuur Hospital,Pelonomi Hospital,Worcester Hospital,Chris Hani Baragwanath Hospital
user581@example.com,Groote Schuur Hospital,Tygerberg Hospital,Themba Hospital,Mankweng Hospital
user582@example.com,Groote Schuur Hospital,Robert Mangaliso Sobukwe Hospital,Frere Hospital,General Justice Gizenga Mpanza Hospital
user583@example.com,Groote Schuur Hospital,Tambo Memorial Hospital,Helen Joseph Hospital,Steve Biko Academic Hospital
user584@example.com,Groote Schuur Hospital,Paarl Hospital,Mahikeng Provincial Hospital,Sebokeng Hospital
user585@example.com,Groote Schuur Hospital,Leratong Hospital,Job Shimankana Tabane Hospital,Victoria Hospital
user586@example.com,Groote Schuur Hospital,Witbank Hospital,Grey's Hospital,Paarl Hospital
user587@example.com,Groote Schuur Hospital,Livingstone Hospital,"Ngwelezana Hospital, Empangeni",Pietersburg Hospital
user588@example.com,Groote Schuur Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital,Steve Biko Academic Hospital
user589@example.com,Groote Schuur Hospital,Helen Joseph Hospital,George Hospital,Themba Hospital
user590@example.com,Groote Schuur Hospital,Livingstone Hospital,Leratong Hospital,Karl Bremer Hospital
user591@example.com,Groote Schuur Hospital,Robert Mangaliso Sobukwe Hospital,Rob Ferreira Hospital,Witbank Hospital
user592@example.com,Groote Schuur Hospital,Grey's Hospital,Chris Hani Baragwanath Hospital,Port Shepstone Hospital
user593@example.com,Groote Schuur Hospital,Leratong Hospital,Rob Ferreira Hospital,Themba Hospital
user594@example.com,Groote Schuur Hospital,Steve Biko Academic Hospital,Nelson Mandela Academic Hospital,Livingstone Hospital
user595@example.com,Groote Schuur Hospital,Themba Hospital,Robert Mangaliso Sobukwe Hospital,Witbank Hospital
user596@example.com,Groote Schuur Hospital,Port Shepstone Hospital,Grey's Hospital,George Hospital
user597@example.com,Groote Schuur Hospital,Charlotte Maxeke Hospital,"Madadeni Hospital, New Castle",Themba Hospital
user598@example.com,Groote Schuur Hospital,"Madadeni Hospital, New Castle",Mankweng Hospital,"Ngwelezana Hospital, Empangeni"
user599@example.com,Groote Schuur Hospital,Ladysmith Hospital,Robert Mangaliso Sobukwe Hospital,Nelson Mandela Academic Hospital
user600@example.com,Groote Schuur Hospital,Sebokeng Hospital,Themba Hospital,Frere Hospital
user601@example.com,Groote Schuur Hospital,Themba Hospital,Nelson Mandela Academic Hospital,"Madadeni Hospital, New Castle"
user602@example.com,Groote Schuur Hospital,Frere Hospital,Chris Hani Baragwanath Hospital,General Justice Gizenga Mpanza Hospital
user603@example.com,Groote Schuur Hospital,Mahikeng Provincial Hospital,George Hospital,Grey's Hospital
user604@example.com,Groote Schuur Hospital,Livingstone Hospital,Mitchells Plain Hospital,Robert Mangaliso Sobukwe Hospital
user605@example.com,Groote Schuur Hospital,Frere Hospital,Port Shepstone Hospital,Livingstone Hospital
user606@example.com,Groote Schuur Hospital,Leratong Hospital,St Rita's Hospital,Paarl Hospital
user607@example.com,Groote Schuur Hospital,"Madadeni Hospital, New Castle",Sebokeng Hospital,Klerksdorp-Tshepong Tertiary Hospital
user608@example.com,Groote Schuur Hospital,Leratong Hospital,Prince Mshiyeni Memorial Hospital,Lebowakgomo Hospital
user609@example.com,Groote Schuur Hospital,Nelson Mandela Academic Hospital,Sebokeng Hospital,Livingstone Hospital
user610@example.com,Groote Schuur Hospital,Thelle Mogoerane Regional Hospital,Paarl Hospital,Frere Hospital
user611@example.com,Groote Schuur Hospital,Grey's Hospital,Themba Hospital,Port Shepstone Hospital
user612@example.com,Groote Schuur Hospital,Job Shimankana Tabane Hospital,Livingstone Hospital,Witbank Hospital
user613@example.com,Groote Schuur Hospital,Port Shepstone Hospital,Tambo Memorial Hospital,Pietersburg Hospital
user614@example.com,Groote Schuur Hospital,Dr George Mukhari Hospital,Frere Hospital,Port Shepstone Hospital
user615@example.com,Groote Schuur Hospital,Sebokeng Hospital,Charlotte Maxeke Hospital,Livingstone Hospital
user616@example.com,Groote Schuur Hospital,Ladysmith Hospital,Grey's Hospital,Klerksdorp-Tshepong Tertiary Hospital
user617@example.com,Groote Schuur Hospital,Sebokeng Hospital,Bongani Hospital,Ladysmith Hospital
user618@example.com,Groote Schuur Hospital,George Hospital,Livingstone Hospital,Worcester Hospital
user619@example.com,Groote Schuur Hospital,Kalafong Hospital,Livingstone Hospital,Leratong Hospital
user620@example.com,Groote Schuur Hospital,Worcester Hospital,General Justice Gizenga Mpanza Hospital,Klerksdorp-Tshepong Tertiary Hospital
user621@example.com,Groote Schuur Hospital,"Madadeni Hospital, New Castle",Witbank Hospital,Rob Ferreira Hospital
user622@example.com,Groote Schuur Hospital,Tygerberg Hospital,Job Shimankana Tabane Hospital,Grey's Hospital
user623@example.com,Groote Schuur Hospital,Paarl Hospital,King Edward VIII Hospital,Witbank Hospital
user624@example.com,Groote Schuur Hospital,Themba Hospital,George Hospital,Robert Mangaliso Sobukwe Hospital
user625@example.com,Groote Schuur Hospital,"Ngwelezana Hospital, Empangeni",Sebokeng Hospital,George Hospital
user626@example.com,Groote Schuur Hospital,Victoria Hospital,Frere Hospital,Leratong Hospital
user627@example.com,Groote Schuur Hospital,Frere Hospital,Robert Mangaliso Sobukwe Hospital,"Madadeni Hospital, New Castle"
user628@example.com,Groote Schuur Hospital,Witbank Hospital,Livingstone Hospital,Themba Hospital
user629@example.com,Groote Schuur Hospital,Leratong Hospital,Grey's Hospital,Potchefstroom Hospital
user630@example.com,Groote Schuur Hospital,Prince Mshiyeni Memorial Hospital,Potchefstroom Hospital,Mokopane Hospital
user631@example.com,Groote Schuur Hospital,Potchefstroom Hospital,Worcester Hospital,"Madadeni Hospital, New Castle"
user632@example.com,Groote Schuur Hospital,Joe Morolong Memorial Hospital,Leratong Hospital,Livingstone Hospital
user633@example.com,Groote Schuur Hospital,George Hospital,Sebokeng Hospital,Letaba Hospital
user634@example.com,Groote Schuur Hospital,Job Shimankana Tabane Hospital,Klerksdorp-Tshepong Tertiary Hospital,Mitchells Plain Hospital
user635@example.com,Groote Schuur Hospital,Frere Hospital,Sebokeng Hospital,George Hospital
user636@example.com,Groote Schuur Hospital,Leratong Hospital,Sebokeng Hospital,Grey's Hospital
user637@example.com,Groote Schuur Hospital,Dr George Mukhari Hospital,Leratong Hospital,Frere Hospital
user638@example.com,Groote Schuur Hospital,"Ngwelezana Hospital, Empangeni",Livingstone Hospital,Port Shepstone Hospital
user639@example.com,Groote Schuur Hospital,Sebokeng Hospital,Robert Mangaliso Sobukwe Hospital,Livingstone Hospital
user640@example.com,Groote Schuur Hospital,Steve Biko Academic Hospital,Paarl Hospital,Charlotte Maxeke Hospital
user641@example.com,Groote Schuur Hospital,Ladysmith Hospital,Mankweng Hospital,Port Shepstone Hospital
user642@example.com,Groote Schuur Hospital,Paarl Hospital,Port Shepstone Hospital,George Hospital
user643@example.com,Groote Schuur Hospital,Leratong Hospital,"Ngwelezana Hospital, Empangeni",Thelle Mogoerane Regional Hospital
user644@example.com,Helderberg Hospital,Karl Bremer Hospital,George Hospital,Letaba Hospital
user645@example.com,Helderberg Hospital,Job Shimankana Tabane Hospital,Robert Mangaliso Sobukwe Hospital,Sebokeng Hospital
user646@example.com,Helderberg Hospital,Ladysmith Hospital,Worcester Hospital,Sebokeng Hospital
user647@example.com,Helderberg Hospital,Thelle Mogoerane Regional Hospital,Port Shepstone Hospital,Karl Bremer Hospital
user648@example.com,Helderberg Hospital,Grey's Hospital,Port Shepstone Hospital,Worcester Hospital
user649@example.com,Helderberg Hospital,Groote Schuur Hospital,SAMHS 2 Military Hospital,Port Shepstone Hospital
user650@example.com,Helderberg Hospital,"Ngwelezana Hospital, Empangeni",King Edward VIII Hospital,Pholosong Hospital
user651@example.com,Helderberg Hospital,Leratong Hospital,George Hospital,Klerksdorp-Tshepong Tertiary Hospital
user652@example.com,Helderberg Hospital,Leratong Hospital,Thelle Mogoerane Regional Hospital,Grey's Hospital
user653@example.com,Helderberg Hospital,Potchefstroom Hospital,Frere Hospital,Ladysmith Hospital
user654@example.com,Helderberg Hospital,Frere Hospital,Nelson Mandela Academic Hospital,Mankweng Hospital
user655@example.com,Helderberg Hospital,Worcester Hospital,Ladysmith Hospital,Witbank Hospital
user656@example.com,Helen Joseph Hospital,Livingstone Hospital,Pelonomi Hospital,Paarl Hospital
user657@example.com,Helen Joseph Hospital,Paarl Hospital,Addington Hospital,Joe Morolong Memorial Hospital
user658@example.com,Helen Joseph Hospital,Nelson Mandela Academic Hospital,Mokopane Hospital,Potchefstroom Hospital
user659@example.com,Helen Joseph Hospital,Themba Hospital,Witbank Hospital,Groote Schuur Hospital
user660@example.com,Helen Joseph Hospital,Dr George Mukhari Hospital,SAMHS 1 Military Hospital,Tygerberg Hospital
user661@example.com,Helen Joseph Hospital,Witbank Hospital,Robert Mangaliso Sobukwe Hospital,Potchefstroom Hospital
user662@example.com,Helen Joseph Hospital,Worcester Hospital,Themba Hospital,Helderberg Hospital
user663@example.com,Helen Joseph Hospital,RK Khan Hospital,Charlotte Maxeke Hospital,Witbank Hospital
user664@example.com,Helen Joseph Hospital,Klerksdorp-Tshepong Tertiary Hospital,General Justice Gizenga Mpanza Hospital,"Ngwelezana Hospital, Empangeni"
user665@example.com,Helen Joseph Hospital,Grey's Hospital,"Madadeni Hospital, New Castle",Robert Mangaliso Sobukwe Hospital
user666@example.com,Helen Joseph Hospital,Sebokeng Hospital,Port Shepstone Hospital,Job Shimankana Tabane Hospital
user667@example.com,Helen Joseph Hospital,Kalafong Hospital,Grey's Hospital,Frere Hospital
user668@example.com,Helen Joseph Hospital,Witbank Hospital,Thelle Mogoerane Regional Hospital,Port Shepstone Hospital
user669@example.com,Helen Joseph Hospital,Victoria Hospital,Livingstone Hospital,Potchefstroom Hospital
user670@example.com,Helen Joseph Hospital,"Ngwelezana Hospital, Empangeni",Grey's Hospital,Leratong Hospital
user671@example.com,Helen Joseph Hospital,Mahikeng Provincial Hospital,Frere Hospital,Mankweng Hospital
user672@example.com,Helen Joseph Hospital,Klerksdorp-Tshepong Tertiary Hospital,Prince Mshiyeni Memorial Hospital,Tembisa Hospital
user673@example.com,Helen Joseph Hospital,Rob Ferreira Hospital,"Madadeni Hospital, New Castle",General Justice Gizenga Mpanza Hospital
user674@example.com,Helen Joseph Hospital,General Justice Gizenga Mpanza Hospital,Mahikeng Provincial Hospital,Prince Mshiyeni Memorial Hospital
user675@example.com,Helen Joseph Hospital,Worcester Hospital,"Ngwelezana Hospital, Empangeni",Pietersburg Hospital
user676@example.com,Helen Joseph Hospital,Boitumelo Hospital,Mankweng Hospital,Mahikeng Provincial Hospital
user677@example.com,Helen Joseph Hospital,Nelson Mandela Academic Hospital,New Somerset Hospital,Frere Hospital
user678@example.com,Helen Joseph Hospital,Sebokeng Hospital,George Hospital,Chris Hani Baragwanath Hospital
user679@example.com,Helen Joseph Hospital,Klerksdorp-Tshepong Tertiary Hospital,Frere Hospital,Addington Hospital
user680@example.com,Helen Joseph Hospital,George Hospital,Ladysmith Hospital,Port Shepstone Hospital
user681@example.com,Helen Joseph Hospital,Robert Mangaliso Sobukwe Hospital,Rob Ferreira Hospital,Prince Mshiyeni Memorial Hospital
user682@example.com,Helen Joseph Hospital,Sebokeng Hospital,Port Shepstone Hospital,Kalafong Hospital
user683@example.com,Helen Joseph Hospital,General Justice Gizenga Mpanza Hospital,Dr George Mukhari Hospital,"Ngwelezana Hospital, Empangeni"
user684@example.com,Helen Joseph Hospital,Potchefstroom Hospital,Port Shepstone Hospital,Chris Hani Baragwanath Hospital
user685@example.com,Helen Joseph Hospital,Grey's Hospital,Pietersburg Hospital,Themba Hospital
user686@example.com,Helen Joseph Hospital,Far East Rand Hospital,Victoria Hospital,SAMHS 1 Military Hospital
user687@example.com,Helen Joseph Hospital,Groote Schuur Hospital,Robert Mangaliso Sobukwe Hospital,King Edward VIII Hospital
user688@example.com,Helen Joseph Hospital,Mokopane Hospital,Ermelo Hospital,Livingstone Hospital
user689@example.com,Helen Joseph Hospital,Steve Biko Academic Hospital,Pelonomi Hospital,Paarl Hospital
user690@example.com,Helen Joseph Hospital,Letaba Hospital,Paarl Hospital,Klerksdorp-Tshepong Tertiary Hospital
user691@example.com,Helen Joseph Hospital,Sebokeng Hospital,George Hospital,Potchefstroom Hospital
user692@example.com,Helen Joseph Hospital,Nelson Mandela Academic Hospital,Mahikeng Provincial Hospital,"Ngwelezana Hospital, Empangeni"
user693@example.com,Helen Joseph Hospital,Pietersburg Hospital,Nelson Mandela Academic Hospital,Joe Morolong Memorial Hospital
user694@example.com,Helen Joseph Hospital,Thelle Mogoerane Regional Hospital,"Ngwelezana Hospital, Empangeni",Rob Ferreira Hospital
user695@example.com,Helen Joseph Hospital,Paarl Hospital,Livingstone Hospital,Grey's Hospital
user696@example.com,Helen Joseph Hospital,Port Shepstone Hospital,"Madadeni Hospital, New Castle",Lebowakgomo Hospital
user697@example.com,Helen Joseph Hospital,"Ngwelezana Hospital, Empangeni",Leratong Hospital,Mapulaneng Hospital
user698@example.com,Helen Joseph Hospital,Witbank Hospital,Sebokeng Hospital,St Rita's Hospital
user699@example.com,Helen Joseph Hospital,Mapulaneng Hospital,Boitumelo Hospital,Pelonomi Hospital
user700@example.com,Helen Joseph Hospital,Ermelo Hospital,George Hospital,Paarl Hospital
user701@example.com,Helen Joseph Hospital,Frere Hospital,Livingstone Hospital,George Hospital
user702@example.com,Helen Joseph Hospital,Lebowakgomo Hospital,Grey's Hospital,General Justice Gizenga Mpanza Hospital
user703@example.com,Helen Joseph Hospital,Pietersburg Hospital,Nelson Mandela Academic Hospital,George Hospital
user704@example.com,Job Shimankana Tabane Hospital,Letaba Hospital,Klerksdorp-Tshepong Tertiary Hospital,George Hospital
user705@example.com,Job Shimankana Tabane Hospital,Paarl Hospital,Pelonomi Hospital,"Ngwelezana Hospital, Empangeni"
user706@example.com,Job Shimankana Tabane Hospital,Witbank Hospital,George Hospital,Nelson Mandela Academic Hospital
user707@example.com,Job Shimankana Tabane Hospital,Port Shepstone Hospital,George Hospital,Frere Hospital
